name,change,rent_median,density,color,percent_change,2016pop,size
Main-Spessart,1298.6356745831229,5.59,95,21,13.0,126123,0.03583008217825354
Schweinfurt,1312.0567375886526,5.58,136,21,13.1,114813,0.032617042293093444
Würzburg,2253.521126760564,7.18,165,22,22.5,160427,0.04557545089801766
Augsburg,2621.6310815540783,9.02,1949,32,26.2,286374,0.08135553351660824
Kaufbeuren,1747.9674796747972,6.5,1067,21,17.5,42731,0.012139381727035927
Kempten (Allgäu),2811.1155859846963,7.95,1057,32,28.1,66947,0.019018866595208964
Memmingen,1975.2609199845376,7.75,610,22,19.8,42841,0.012170631451825282
Aichach-Friedberg,2634.0146548399525,8.19,167,32,26.3,130916,0.03719171791384792
Augsburg,2183.681513598738,7.73,229,22,21.8,245600,0.06977211280241566
Dillingen a.d. Donau,1957.1428571428567,6.28,119,21,19.6,94575,0.026867661108666372
Günzburg,1897.6449275362324,6.57,161,21,19.0,123153,0.034986339608940945
Neu-Ulm,1841.9170243204571,8.28,330,22,18.4,170309,0.04838281253773049
