id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016
09564,Nürnberg,8.84,18.8,22,7.4375,7.8,8.0975,8.485,8.8375
09565,Schwabach,7.44,10.2,22,6.7525,6.8175,6.96,6.9675,7.44
09571,Ansbach,5.92,18.1,21,5.015,5.27,5.37,5.625,5.9225
09572,Erlangen-Höchstadt,7.78,19.2,22,6.525,6.6875,6.9075,7.4025,7.775
09573,Fürth,7.42,15.2,22,6.44,6.6175,6.81,7.0125,7.42
09574,Nürnberger Land,7.11,15.0,22,6.185,6.4225,6.5875,6.8325,7.1125
09575,Neustadt a.d. Aisch-Bad Windsheim,5.66,11.9,21,5.0575,5.045,5.1425,5.3575,5.66
09576,Roth,6.53,15.2,21,5.67,5.795,6.0675,6.3125,6.5325
09577,Weißenburg-Gunzenhausen,5.87,23.3,21,4.76,4.9675,5.07,5.36,5.8675
09661,Aschaffenburg,8.33,17.9,22,7.07,7.3125,7.41,7.7925,8.3325
09662,Schweinfurt,6.19,12.2,21,5.5175,5.8825,5.7575,5.8825,6.1925
09663,Würzburg,9.36,22.4,22,7.6475,8.11,8.51,8.8525,9.36
09671,Aschaffenburg,7.04,15.0,22,6.125,6.245,6.34,6.685,7.0425
09672,Bad Kissingen,5.14,10.8,21,4.6425,4.7975,4.91,4.97,5.1425
09673,Rhön-Grabfeld,5.45,15.6,21,4.7125,4.6825,5.0,5.0525,5.45
09674,Haßberge,5.35,8.5,11,4.9325,4.86,4.935,5.125,5.35
09675,Kitzingen,5.85,23.3,21,4.745,5.135,5.1575,5.3025,5.85
09676,Miltenberg,6.33,21.2,21,5.2225,5.43,5.8,5.9125,6.33
09677,Main-Spessart,5.59,13.0,21,4.9475,5.0125,5.12,5.2975,5.59
09678,Schweinfurt,5.58,13.1,21,4.935,5.14,5.195,5.5025,5.5825
09679,Würzburg,7.18,22.5,22,5.8575,6.0525,6.47,6.665,7.1775
09761,Augsburg,9.02,26.2,32,7.1425,7.6375,8.15,8.5975,9.015
09762,Kaufbeuren,6.5,17.5,21,5.535,5.7525,6.0475,6.38,6.5025
09763,Kempten (Allgäu),7.95,28.1,32,6.2075,6.825,7.075,7.3175,7.9525
09764,Memmingen,7.75,19.8,22,6.4675,6.66,6.935,7.0175,7.745
09771,Aichach-Friedberg,8.19,26.3,32,6.4825,6.8625,6.975,7.2975,8.19
09772,Augsburg,7.73,21.8,22,6.3425,6.6225,6.9625,7.28,7.7275
09773,Dillingen a.d. Donau,6.28,19.6,21,5.25,5.4025,5.5925,5.895,6.2775
09774,Günzburg,6.57,19.0,21,5.52,5.845,6.025,6.32,6.5675
09775,Neu-Ulm,8.28,18.4,22,6.99,7.215,7.2675,7.7775,8.2775
09776,Lindau (Bodensee),9.11,15.1,22,7.9125,7.8825,8.14,8.4,9.11
09777,Ostallgäu,7.29,19.2,22,6.1175,6.3675,6.53,6.6675,7.295
09778,Unterallgäu,7.09,23.7,22,5.73,5.79,5.9725,6.1675,7.09
